10;0.259;0.273;23.679;0.052620;0.058572
11;0.231;0.244;18.778;0.041729;0.046738
12;0.205;0.218;14.892;0.033092;0.037309
13;0.183;0.195;11.809;0.026243;0.029793
14;0.163;0.174;9.365;0.020811;0.0238
15;0.145;0.156;7.427;0.016504;0.019021
16;0.129;0.139;5.89;0.013088;0.015207
17;0.115;0.124;4.671;0.010379;0.012164
18;0.102;0.111;3.704;0.008231;0.009735
19;0.091;0.1;2.937;0.006527;0.007794
20;0.081;0.089;2.329;0.005176;0.006244
21;0.072;0.08;1.847;0.004105;0.005004
22;0.064;0.071;1.465;0.003255;0.004013
23;0.057;0.064;1.162;0.002582;0.003221
24;0.051;0.057;0.921;0.002047;0.002586
25;0.045;0.051;0.731;0.001624;0.0020778
26;0.04;0.046;0.579;0.001287;0.001671
27;0.036;0.041;0.459;0.001021;0.001344
28;0.032;0.037;0.364;0.00081;0.001083
29;0.029;0.033;0.289;0.000642;0.000872
30;0.025;0.03;0.229;0.000509;0.000704
31;0.023;0.027;0.182;0.000404;0.000568
32;0.02;0.024;0.144;0.00032;0.000459
33;0.018;0.022;0.114;0.000254;0.000371
34;0.016;0.02;0.091;0.000201;0.0003
35;0.014;0.018;0.072;0.00016;0.000243
36;0.013;0.016;0.057;0.000127;0.000197
37;0.011;0.014;0.045;0.0001;0.00016
38;0.01;0.013;0.036;0.00008;0.00013
39;0.009;0.012;0.028;0.000063;0.000106
40;0.008;0.01;0.023;0.00005;0.000086
41;0.007;0.009;0.018;0.00004;0.00007
